小双祝新年快乐,#genre#
凤凰中文,http://sxl.x3322.net:8888/rtp/233.50.200.191:5140
凤凰资讯,http://sxl.x3322.net:8888/rtp/233.50.200.192:5140
欢笑剧场,http://sxl.x3322.net:8888/rtp/233.50.201.189:5140
都市剧场,http://sxl.x3322.net:8888/rtp/233.50.201.190:5140
经典电影,http://www.zzlag.top:9087/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&down=1
中国气象,http://www.zzlag.top:9087/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&down=1
CHC电影,http://www.zzlag.top:9087/tsfile/live/1051_1.m3u8?key=txiptv&playlive=1&down=1
广东影视,http://www.zzlag.top:9087/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&down=1
深圳电视剧	,http://www.zzlag.top:9087/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6,http://120.84.121.113:808/hls/106/index.m3u8
凤凰资讯,http://120.84.121.113:808/hls/28/index.m3u8
天映电影,http://120.84.121.113:808/hls/85/index.m3u8
明珠1,http://120.84.121.113:808/hls/25/index.m3u8
翡翠台,http://120.84.121.113:808/hls/26/index.m3u8
CCTV怀旧剧场,http://www.zzlag.top:9087/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1
CCTV世界地理,http://www.zzlag.top:9087/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1
CCTV兵器科技,http://www.zzlag.top:9087/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1
CCTV央视文化精品,http://www.zzlag.top:9087/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1
CCTV第一剧场,http://www.zzlag.top:9087/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1
CCTV风云剧场,http://www.zzlag.top:9087/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&down=1
CCTV-风云音乐,http://www.zzlag.top:9087/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&down=1
中国教育电视,http://www.zzlag.top:9087/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&down=1
湖北影视,http://119.98.202.110:4000/rtp/239.69.1.204:10866
CHC电影,http://119.98.202.110:4000/rtp/239.69.1.241:11088
CHC动作电影,http://119.98.202.110:4000/rtp/239.69.1.242:11094
CHC家庭影院,http://119.98.202.110:4000/rtp/239.69.1.243:11100
武术世界,http://119.98.202.110:4000/rtp/239.69.1.47:9922

山东体育,http://182.46.8.252:8888/udp/239.21.1.58:5002
山东体育,http://182.46.8.252:8888/udp/239.21.1.141:5002
山东卫视,http://182.46.8.252:8888/udp/239.21.1.52:5002
山东文旅,http://182.46.8.252:8888/udp/239.21.1.57:5002
山东文旅,http://182.46.8.252:8888/udp/239.21.1.176:5002
山东新闻,http://182.46.8.252:8888/udp/239.21.1.54:5002
山东新闻,http://182.46.8.252:8888/udp/239.21.1.140:5002
山东综,http://182.46.8.252:8888/udp/239.21.1.55:5002
山东综艺,http://182.46.8.252:8888/udp/239.21.1.177:5002
CCTV1 ,http://182.46.8.252:8888/udp/239.21.1.120:5002
CCTV2 ,http://182.46.8.252:8888/udp/239.21.1.151:5002
CCTV3 ,http://182.46.8.252:8888/udp/239.21.2.45:5002
CCTV4 ,http://182.46.8.252:8888/udp/239.21.1.154:5002
CCTV5 ,http://182.46.8.252:8888/udp/239.21.2.46:5002
CCTV5+ ,http://182.46.8.252:8888/udp/239.21.1.142:5002
CCTV6 ,http://182.46.8.252:8888/udp/239.21.2.47:5002
CCTV7 ,http://182.46.8.252:8888/udp/239.21.1.152:5002
CCTV8 ,http://182.46.8.252:8888/udp/239.21.2.48:5002
CCTV9 ,http://182.46.8.252:8888/udp/239.21.1.153:5002
CCTV10 ,http://182.46.8.252:8888/udp/239.21.1.155:5002
CCTV11 ,http://182.46.8.252:8888/udp/239.21.2.2:5002
CCTV12 ,http://182.46.8.252:8888/udp/239.21.1.156:5002
CCTV13 ,http://182.46.8.252:8888/udp/239.21.2.3:5002
CCTV14 ,http://182.46.8.252:8888/udp/239.21.1.157:5002
CCTV15 ,http://182.46.8.252:8888/udp/239.21.2.4:5002
CCTV16 ,http://182.46.8.252:8888/udp/239.21.2.51:5002
CCTV17 ,http://182.46.8.252:8888/udp/239.21.1.186:5002
CCTV1,http://182.46.8.252:8888/udp/239.21.1.1:5002
CCTV,http://182.46.8.252:8888/udp/239.21.1.2:5002
CCTV3,http://182.46.8.252:8888/udp/239.21.1.3:5002
CCTV,http://182.46.8.252:8888/udp/239.21.1.4:5002
CCTV4北美,http://182.46.8.252:8888/udp/239.21.2.29:5002
CCTV4欧洲,http://182.46.8.252:8888/udp/239.21.2.28:5002
CCTV5,http://182.46.8.252:8888/udp/239.21.1.5:5002
CCTV6,http://182.46.8.252:8888/udp/239.21.1.6:5002
CCTV7,http://182.46.8.252:8888/udp/239.21.1.7:5002
CCTV8,http://182.46.8.252:8888/udp/239.21.1.8:5002
CCTV9,http://182.46.8.252:8888/udp/239.21.1.9:5002
CCTV10,http://182.46.8.252:8888/udp/239.21.1.11:5002
CCTV11,http://182.46.8.252:8888/udp/239.21.1.12:5002
CCTV13,http://182.46.8.252:8888/udp/239.21.1.14:5002
CCTV13,http://182.46.8.252:8888/udp/239.21.2.1:5002
CCTV13,http://182.46.8.252:8888/udp/239.21.2.3:5002
CCTV14,http://182.46.8.252:8888/udp/239.21.1.15:5002
CCTV1,http://182.46.8.252:8888/udp/239.21.1.16:5002
CETV1,http://182.46.8.252:8888/udp/239.21.2.7:5002
CETV2,http://182.46.8.252:8888/udp/239.21.2.8:5002
CETV4,http://182.46.8.252:8888/udp/239.21.1.222:5002
CGTN,http://182.46.8.252:8888/udp/239.21.1.10:5002
CGTN,http://182.46.8.252:8888/udp/239.21.2.30:5002
CGTN阿拉伯,http://182.46.8.252:8888/udp/239.21.2.34:5002
CGTN俄语,http://182.46.8.252:8888/udp/239.21.2.35:5002
CGTN法语,http://182.46.8.252:8888/udp/239.21.2.33:5002
CGTN纪录,http://182.46.8.252:8888/udp/239.21.2.31:5002
CGTN西班牙语,http://182.46.8.252:8888/udp/239.21.2.32:5002
BTV纪实 LD,http://182.46.8.252:8888/udp/239.21.1.194:5002
BTV卡酷少儿,http://182.46.8.252:8888/udp/239.21.1.49:5002
IPTV经典电影,http://182.46.8.252:8888/udp/239.21.1.124:5002
IPTV魅力时,http://182.46.8.252:8888/udp/239.21.1.129:5002
IPTV热播剧场,http://182.46.8.252:8888/udp/239.21.1.128:5002
IPTV少儿动画,http://182.46.8.252:8888/udp/239.21.1.125:5002
IPTV相声小品,http://182.46.8.252:8888/udp/239.21.1.126:5002
安徽卫视,http://182.46.8.252:8888/udp/239.21.1.21:5002
安徽卫视,http://182.46.8.252:8888/udp/239.21.1.159:5002
安丘新,http://182.46.8.252:8888/udp/239.21.2.13:5002
北京纪实,http://182.46.8.252:8888/udp/239.21.1.172:5002
北京卫视,http://182.46.8.252:8888/udp/239.21.1.20:5002
北京卫视,http://182.46.8.252:8888/udp/239.21.1.88:5002
滨州公共,http://182.46.8.252:8888/udp/239.21.1.119:5002
滨州好生新,http://182.46.8.252:8888/udp/239.21.1.238:5002
滨州新闻,http://182.46.8.252:8888/udp/239.21.1.118:5002
兵团卫视,http://182.46.8.252:8888/udp/239.21.1.234:5002
财富天下,http://182.46.8.252:8888/udp/239.21.1.127:5002
昌乐新闻,http://182.46.8.252:8888/udp/239.21.1.245:5002
昌邑新闻,http://182.46.8.252:8888/udp/239.21.2.27:5002
茌平综合,http://182.46.8.252:8888/udp/239.21.1.219:5002
单县综合,http://182.46.8.252:8888/udp/239.21.2.21:5002
德州公共,http://182.46.8.252:8888/udp/239.21.1.76:5002
德州新闻,http://182.46.8.252:8888/udp/239.21.1.75:5002
定陶,http://182.46.8.252:8888/udp/239.21.1.244:5002
东方卫视,http://182.46.8.252:8888/udp/239.21.1.23:5002
东方卫视,http://182.46.8.252:8888/udp/239.21.1.111:5002
东明,http://182.46.8.252:8888/udp/239.21.1.246:5002
东南卫视,http://182.46.8.252:8888/udp/239.21.1.29:5002
东南卫视,http://182.46.8.252:8888/udp/239.21.1.113:5002
东平新闻,http://182.46.8.252:8888/udp/239.21.1.216:5002
东营公共,http://182.46.8.252:8888/udp/239.21.1.82:5002
东营新闻,http://182.46.8.252:8888/udp/239.21.1.81:5002
动作影院,http://182.46.8.252:8888/udp/239.21.1.123:5002
甘肃卫视,http://182.46.8.252:8888/udp/239.21.1.47:5002
甘肃卫视,http://182.46.8.252:8888/udp/239.21.2.22:5002
冠县综合,http://182.46.8.252:8888/udp/239.21.1.250:5002
光影,http://182.46.8.252:8888/udp/239.21.1.131:5002
广播,http://182.46.8.252:8888/udp/239.21.2.36:5002
广东卫视,http://182.46.8.252:8888/udp/239.21.1.26:5002
广东卫视,http://182.46.8.252:8888/udp/239.21.1.92:5002
广西卫视,http://182.46.8.252:8888/udp/239.21.1.39:5002
贵州卫视,http://182.46.8.252:8888/udp/239.21.1.42:5002
贵州卫视,http://182.46.8.252:8888/udp/239.21.1.166:5002
哈哈炫动,http://182.46.8.252:8888/udp/239.21.1.51:5002
海看剧场,http://182.46.8.252:8888/udp/239.21.1.98:5002
海南卫视,http://182.46.8.252:8888/udp/239.21.1.31:5002
海南卫视,http://182.46.8.252:8888/udp/239.21.2.14:5002
河北卫视,http://182.46.8.252:8888/udp/239.21.1.35:5002
河北卫视,http://182.46.8.252:8888/udp/239.21.1.168:5002
河南卫视,http://182.46.8.252:8888/udp/239.21.1.38:5002
河南卫视,http://182.46.8.252:8888/udp/239.21.2.37:5002
菏泽,http://182.46.8.252:8888/udp/239.21.1.103:5002
菏泽2,http://182.46.8.252:8888/udp/239.21.2.18:5002
黑龙江卫视,http://182.46.8.252:8888/udp/239.21.1.28:5002
黑龙江卫视,http://182.46.8.252:8888/udp/239.21.1.91:5002
湖北卫视,http://182.46.8.252:8888/udp/239.21.1.32:5002
湖北卫视,http://182.46.8.252:8888/udp/239.21.1.163:5002
湖南卫视,http://182.46.8.252:8888/udp/239.21.1.18:5002
湖南卫视,http://182.46.8.252:8888/udp/239.21.1.158:5002
桓台,http://182.46.8.252:8888/udp/239.21.1.105:5002
惠民综合,http://182.46.8.252:8888/udp/239.21.1.181:5002
吉林卫视,http://182.46.8.252:8888/udp/239.21.1.37:5002
吉林卫视,http://182.46.8.252:8888/udp/239.21.2.49:5002
纪实人文,http://182.46.8.252:8888/udp/239.21.1.195:5002
济南都市,http://182.46.8.252:8888/udp/239.21.1.63:5002
济南教育,http://182.46.8.252:8888/udp/239.21.1.133:5002
济南鲁中,http://182.46.8.252:8888/udp/239.21.1.149:5002
济南少儿,http://182.46.8.252:8888/udp/239.21.1.68:5002
济南生,http://182.46.8.252:8888/udp/239.21.1.64:5002
济南新闻,http://182.46.8.252:8888/udp/239.21.1.62:5002
济南新闻,http://182.46.8.252:8888/udp/239.21.1.94:5002
济南影视,http://182.46.8.252:8888/udp/239.21.1.65:5002
济南娱乐,http://182.46.8.252:8888/udp/239.21.1.66:5002
济宁公共,http://182.46.8.252:8888/udp/239.21.2.20:5002
济宁教育,http://182.46.8.252:8888/udp/239.21.1.139:5002
济宁综合,http://182.46.8.252:8888/udp/239.21.1.138:5002
济宁综合,http://182.46.8.252:8888/udp/239.21.2.19:5002
济阳综合,http://182.46.8.252:8888/udp/239.21.1.187:5002
嘉佳卡通,http://182.46.8.252:8888/udp/239.21.2.5:5002
江苏卫视,http://182.46.8.252:8888/udp/239.21.1.19:5002
江苏卫视,http://182.46.8.252:8888/udp/239.21.1.89:5002
江西卫视,http://182.46.8.252:8888/udp/239.21.1.36:5002
江西卫视,http://182.46.8.252:8888/udp/239.21.1.167:5002
金鹰纪实,http://182.46.8.252:8888/udp/239.21.1.170:5002
金鹰纪实 LD,http://182.46.8.252:8888/udp/239.21.1.196:5002
金鹰卡通,http://182.46.8.252:8888/udp/239.21.1.48:5002
巨野新闻,http://182.46.8.252:8888/udp/239.21.1.215:5002
莱西综合,http://182.46.8.252:8888/udp/239.21.1.247:5002
兰陵综合,http://182.46.8.252:8888/udp/239.21.1.237:5002
梁山新闻,http://182.46.8.252:8888/udp/239.21.2.12:5002
辽宁卫,http://182.46.8.252:8888/udp/239.21.1.27:5002
辽宁卫视,http://182.46.8.252:8888/udp/239.21.1.164:5002
聊城公共,http://182.46.8.252:8888/udp/239.21.1.254:5002
聊城综合,http://182.46.8.252:8888/udp/239.21.1.253:5002
陵城新闻,http://182.46.8.252:8888/udp/239.21.2.24:5002
美人,http://182.46.8.252:8888/udp/239.21.1.132:5002
蒙阴,http://182.46.8.252:8888/udp/239.21.2.23:5002
墨宝,http://182.46.8.252:8888/udp/239.21.1.130:5002
牟平生活,http://182.46.8.252:8888/udp/239.21.2.11:5002
牟平新闻,http://182.46.8.252:8888/udp/239.21.2.10:5002
内蒙古卫视,http://182.46.8.252:8888/udp/239.21.1.41:5002
宁津新闻,http://182.46.8.252:8888/udp/239.21.2.50:5002
宁夏卫视,http://182.46.8.252:8888/udp/239.21.1.44:5002
宁阳1,http://182.46.8.252:8888/udp/239.21.1.143:5002
